time,user_name,user_color,message
1302,frostxbytex,#1E90FF,"@Dannypic7 `that is so sick danny"
1307,charliegldmn,#DC4C0E,"we all live in Anorak’s world"
1339,edgxxrr,#FF69B4,"justin is insane he will make the comeback"
1400,slytheepug,#8A2BE2,"#wiibelieve"
1470,mellovrotv,#FF69B4,"lol"
1697,brickofett,#00C446,"So true"
1705,zacmuffin,#52FFFC,"Dude"
1708,itsjared97,#FF0000,"Evan’s mic is really bad"
1711,zacmuffin,#52FFFC,"I am trying so hard not to laugh but I have to keep muting"
1713,zacmuffin,#52FFFC,"How does he sound like that"
1714,brickofett,#00C446,"Lmao"
1736,mariofan043,#FF4500,"Hi chat"
1738,frostxbytex,#1E90FF,"bro got me thinking I got voices in my head"
1741,brickofett,#00C446,"bricko2Noting"
1796,staunch82,#DAA520,"Justin win would extend my prediction lead by 15 🙏🙏 comeback szn"
1816,mariofan043,#FF4500,"Um hey @frostxbytex this is robotfan here, I'm here to say it's been a bit, I'm sorry for being unfunny in your chat. Can you at least give me a another chance?"
1831,ondereh,#21D9D9,"lmao"
1886,brickofett,#00C446,"He did reset I think"
1892,lukekywaiker8,#913636,"he reset"
1915,mariofan043,#FF4500,"Scynor has an chance here"
1935,mariofan043,#FF4500,"But I'm betting WiiSuper could comeback"
1959,firmynator,#7C13FF,"hes gonna study the seeds in the droid factory intro"
1977,colten8_,,"frost you and Mario need to go to couples therapy"
2000,violaguy32,#DAA520,"Is getting the fly second try still faster than forcing the thing for the bridge?"
2018,firmynator,#7C13FF,"mariofan are you related to koopafan"
2051,mariofan043,#FF4500,"@firmynator nah I used to be known as robotfan at the time"
2066,colten8_,,"how did u get banned for being unfunny"
2070,firmynator,#7C13FF,"what changed your opinion on robots"
2094,mariofan043,#FF4500,"I do love robots, just a name I came up with lol firmy"
2109,mariofan043,#FF4500,"Well Colten, let's just say he had an bad day of runs"
2118,themdof106,#3D938A,"What happened to Justin? Sadge"
2140,violaguy32,#DAA520,"Mario is the enemy of the Koopas. Why would someone be a fan of both of themM"
2143,violaguy32,#DAA520,"?"
2143,staunch82,#DAA520,"podrace reset"
2148,brickofett,#00C446,"Pog"
2156,brickofett,#00C446,"He's cooking"
2178,charzight,#A3A3A3,"let me guess backwards after god fraud"
2186,noob9ager,,"yup"
2187,colten8_,,"hmmmm"
2187,mellovrotv,#FF69B4,"he actually missed pod fraud"
2191,itsjared97,#FF0000,"nooe"
2192,mellovrotv,#FF69B4,"and went backwards"
