time,user_name,user_color,message
6320,chesterthemouse2,#1E90FF,"i dont think speeder skip is worth going for in tourneys tbh"
6356,chroma_q,#FF0000,"benny had a 1:30:00 carkoon exit yesterday lrt"
6363,catnamedpoptart24,#8A2BE2,"the green teeth"
6369,virtualflup,#8A2BE2,"he's the goat"
6375,chesterthemouse2,#1E90FF,"!predictions"
6375,nightbot,#7C7CE1,"View the prediction standings on the 'prediction standings' page here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0/edit?usp=sharing"
6410,nolanhead,#FF69B4,"omg guys ive been playing left handed this whole time"
6426,chesterthemouse2,#1E90FF,"haha rookie mistake"
6438,chesterthemouse2,#1E90FF,"1 handed 1p2c would probably slow you down"
6455,biksel,#00ADCC,"cl_righthand 1 will fix that"
6663,zacmuffin,#52FFFC,"Less chatting nolan and more focusing on the gap being less seconds than there are stars in super mario 64 buddy"
6787,nogamesensetv,#FF69B4,"such a commanding lead from olive wow"
6805,revvylo,#B2D400,"olive kinda cruising rn"
6829,frostxbytex,#1E90FF,"good one zac"
6839,zacmuffin,#52FFFC,"Thanks frost"
6839,anorakdt,#DFC80E,"i feel like olives bpt has gone down from like 40 minutes ago"
6851,nogamesensetv,#FF69B4,"carkoon was really good"
6853,nogamesensetv,#FF69B4,"had to have been a gold"
6893,chesterthemouse2,#1E90FF,"dw guys nolan has an extremely fast ultrakill setup"
6912,nolanhead,#FF69B4,"i would respond chesster but the moderators have forbidden me to chat"
6916,anorakdt,#DFC80E,"olive golded carkoon and endor yeah"
6928,nogamesensetv,#FF69B4,"does it say on therun?"
6933,chesterthemouse2,#1E90FF,":("
6942,anorakdt,#DFC80E,"@NoGameSenseTV no its on olives splits"
6946,anorakdt,#DFC80E,"on his stream"
6950,nogamesensetv,#FF69B4,"ah"
6974,flaming_lazer,#8A2BE2,"don't think there are 201 stars in sm64"
6981,0dronzer,#5F9EA0,"muehehehehha"
6982,nogamesensetv,#FF69B4,"green stars"
7008,zacmuffin,#52FFFC,"Necropost from lazer"
7047,nogamesensetv,#FF69B4,"no powerup ig"
7122,nogamesensetv,#FF69B4,"double blank holy"
7125,anorakdt,#DFC80E,"over under for IT grabs?"
7145,0dronzer,#5F9EA0,"nolan's gonna hit all the dv skips first try"
7157,nogamesensetv,#FF69B4,"ok whats happening"
7166,chesterthemouse2,#1E90FF,"@0DRONZER tas dv1...."
7174,0dronzer,#5F9EA0,"real"
7196,nogamesensetv,#FF69B4,"this is some interesting 6-6 out of gamer olive"
7227,flaming_lazer,#8A2BE2,"everyone pay close attention to yahootles entering the core"
7235,nogamesensetv,#FF69B4,"PauseChamp"
7241,nogamesensetv,#FF69B4,"oh"
7253,flaming_lazer,#8A2BE2,"uh oh"
7257,nogamesensetv,#FF69B4,"so"
7269,flaming_lazer,#8A2BE2,"bro better get IT"
7326,flaming_lazer,#8A2BE2,"WOO HOO"
7343,nogamesensetv,#FF69B4,"exhilarating"
7408,nolanhead,#FF69B4,"ok guys my game of league of legends just ended so i can lock in now"
7451,chesterthemouse2,#1E90FF,"league of l;egends in 2015 copme on man"
7464,nogamesensetv,#FF69B4,"ICANT"
7476,biksel,#00ADCC,"imagine not playing league in 2025"
7488,flaming_lazer,#8A2BE2,"I don't have to imagine"
7491,nogamesensetv,#FF69B4,"game is bad"
7497,chesterthemouse2,#1E90FF,"cold af"
7517,0dronzer,#5F9EA0,"lego of legend"
7538,chesterthemouse2,#1E90FF,"@ttgames"
7544,ethanmagicbrown,#D0A80B,"vwings"
7553,nogamesensetv,#FF69B4,"good fact"
7566,charliegldmn,#DC4C0E,"play jeopardy music"
7575,lunaraes_,#0000FF,"need to get core in here for 3-1"
7588,ethanmagicbrown,#D0A80B,"gamerolive death"
7589,ethanmagicbrown,#D0A80B,"wow"
7591,0dronzer,#5F9EA0,"i had no idea you could even same time in dogfight"
7591,charliegldmn,#DC4C0E,"or that the space battle was originally an hour long in the precut movie"
7593,nogamesensetv,#FF69B4,"intentional @ethanmagicbrown"
7598,ethanmagicbrown,#D0A80B,"why?"
7608,nogamesensetv,#FF69B4,"what p53 said"
7621,ethanmagicbrown,#D0A80B,"i wasent aware of that tech"
7629,charliegldmn,#DC4C0E,"deaths in certain spots boosts the character"
7643,nogamesensetv,#FF69B4,"also eliminates enemy ships for that last section"
7646,nogamesensetv,#FF69B4,"which is nice"
7649,0dronzer,#5F9EA0,"1 minute ad again bro :("
7669,frostxbytex,#1E90FF,"epic race"
7670,nogamesensetv,#FF69B4,"that nolan death was not intentional"
7702,0dronzer,#5F9EA0,"twitch trying to sell me some counter striker tournament with ai images"
7740,connal_,#DAA520,"guys i just woke up is my goat cooked?"
7746,nogamesensetv,#FF69B4,"who is your goat?"
7749,virtualflup,#8A2BE2,"Nolan"
7753,nogamesensetv,#FF69B4,"yes"
7770,nogamesensetv,#FF69B4,"olive is cooking wow"
7771,biksel,#00ADCC,"well recovered"
7793,anorakdt,#DFC80E,"olive actually had a really weird superjump position but it worked"
7873,nogamesensetv,#FF69B4,"olive taking punishment from the magna guards"
7878,biksel,#00ADCC,"800x600 csj tech"
7880,nogamesensetv,#FF69B4,"or whatever they are called"
7899,lunaraes_,#0000FF,"hardware-dependent moment"
7926,0dronzer,#5F9EA0,"do you have to change the resolution? i thought it was an aspect ratio thing"
7957,revvylo,#B2D400,"holy 4 cycle"
7959,anorakdt,#DFC80E,"i can consistently get sub 1:13 grievouses so i think its a skill issue actually"
7966,lunaraes_,#0000FF,"clean"
7969,anorakdt,#DFC80E,"some say its the most skill dependent level"
7975,0dronzer,#5F9EA0,"damn lol"
7976,nogamesensetv,#FF69B4,"olive like 2 off their grievous gold lol"
8073,anorakdt,#DFC80E,"is he? it doesnt look like it"
8083,biksel,#00ADCC,"he did change to 800x600 in dooku"
8088,biksel,#00ADCC,"and queued 1080"
8091,nogamesensetv,#FF69B4,"wow"
8132,anorakdt,#DFC80E,"@Biksel how does the queue persist 3 episodes later"
8141,biksel,#00ADCC,"@AnorakDT dooku fight*"
8151,anorakdt,#DFC80E,"oh right"
8264,chesterthemouse2,#1E90FF,"olive will lock in and win it all trust"
8322,biksel,#00ADCC,"yea bottom rung 2 get eliminated"
8347,biksel,#00ADCC,"NAILS"
8374,chesterthemouse2,#1E90FF,"clean library holy"
8392,chroma_q,#FF0000,"gold ruin for olive"
8398,virtualflup,#8A2BE2,"very solid"
8566,the_pearman_,,"huge olive believer lfg"
8580,0dronzer,#5F9EA0,"the way lego star wars handles collision reminds me a bit of mario 64"
8592,lunaraes_,#0000FF,"bro olive's resets are so bad for some reason"
8608,nogamesensetv,#FF69B4,"hes not getting the dot off the screen"
8614,nogamesensetv,#FF69B4,"hes like not up enough"
8637,0dronzer,#5F9EA0,"nolan get off league legend :("
8662,nogamesensetv,#FF69B4,"gg nolan"
8687,lunaraes_,#0000FF,"1m ago"
8707,the_appleman_,#9ACD32,"no superjump back up ;-;"
8748,flaming_lazer,#8A2BE2,"fast force off 100% consistent"
8750,biksel,#00ADCC,"fast force off tech"
8753,nogamesensetv,#FF69B4,"huge"
8756,biksel,#00ADCC,"he heard the comms I assume"
8763,nolanhead,#FF69B4,"it was actually fast force"
8763,0dronzer,#5F9EA0,"slow force strat"
8785,nogamesensetv,#FF69B4,"im gonna start doing that"
8788,nogamesensetv,#FF69B4,"just turn off fast force"
8796,0dronzer,#5F9EA0,"i still believe nolan has a trick up his sleeve"
8808,virtualflup,#8A2BE2,"brickbench up his sleeve"
8816,bennymoon129,,"rip my prediction"
8816,frostxbytex,#1E90FF,"doable"
8847,the_appleman_,#9ACD32,"switch to mobile for ep 5"
8848,nogamesensetv,#FF69B4,"nolan knows of australian hitmen to cut gamer olives power"
8858,chesterthemouse2,#1E90FF,"gamer olive believers are ecstatic rn"
8925,bennymoon129,,"it’s like I said before, he’s finding the bespin end platform warp"
8939,chesterthemouse2,#1E90FF,"nolan learned god fraud hell clutch up trust"
8959,nolanhead,#FF69B4,"bro"
8966,nolanhead,#FF69B4,"god fraud isnt helping me now"
8969,nolanhead,#FF69B4,"only god"
8978,nolanhead,#FF69B4,"im actually converting rn"
8987,catnamedpoptart24,#8A2BE2,"praise satan"
8996,nogamesensetv,#FF69B4,"oh"
9001,chesterthemouse2,#1E90FF,"guys the any% speedrun wr holder would be  done by now"
9009,chesterthemouse2,#1E90FF,"this really says a lot"
9024,nogamesensetv,#FF69B4,"theres levels to this"
9037,chesterthemouse2,#1E90FF,"inspational :("
